method,n_weights,sum_weights,min_weight,max_weight,n_negative,n_greater_than_one,n_effectively_nonzero,l1_norm
SCM,38,0.9999999999953942,1.0422003500032159e-7,0.34195371280809006,0,0,5,0.9999999999953942
Regressão OLS,38,1.0000000000002223,-0.3250274715725897,0.4925057675538907,17,0,38,3.9603750072868276
