periodo_rel,periodo_abs,coef,se,pval,sig
-3,0,-0.012768531747532163,0.06202788203767276,0.8369296445816736,
-2,1,0.002191373518213287,0.013492028972801596,0.8709930243011462,
-1,2,0,NA,NA,(ref)
0,3,0.017875300871445773,0.02335260163387777,0.444100262829498,
1,4,0.04172619737168934,0.03396092327463533,0.2193586343603188,
2,5,0.18030080704334525,0.08748461318225383,0.03944841602586871,**
