dropped,att,se,pvalue
Campo Mourão,0.08534329326567625,0.0345332023685928,0.013550574384942716
Araucária,0.08172010485982799,0.0350510556022426,0.01983646181043264
Ponta Grossa,0.08920513479996153,0.037689317000083426,0.01804281536755851
Foz do Iguaçu,0.08798214724909566,0.03655243803612883,0.016181446393260173
Uberlândia,0.07451845876933952,0.03678590716641885,0.04293589384405508
Goioerê,0.08620039159822156,0.03416010333775283,0.011705325594213169
Chapecó,0.08490771870321476,0.03471343225905799,0.014539582316633845
Santa Maria,0.08740192304170667,0.03599117259612341,0.015259610407975641
Paranaguá,0.07566796333286327,0.03380646844581053,0.02532252964834927
Gravataí,0.09376249406988739,0.03539285217663609,0.008137347534868923
Palhoça,0.07347834661808256,0.03241018091406677,0.023497203146677748
Pelotas,0.09528599633268948,0.035069738000575154,0.006648413656975282
Cascavel,0.09991933857628492,0.032487715913904223,0.0021316336867358517
Caçador,0.07447372804827557,0.03247606549422722,0.021949300027656726
Limeira,0.08311675290455138,0.03538531132982097,0.01893378443784393
São José dos Campos,0.07447372804828317,0.03247606525695199,0.021949299061364565
Imbituba,0.08261616220754937,0.03404487787377251,0.015332854911231378
São Francisco do Sul,0.08305700325556625,0.03390470832402467,0.014389253733294903
Guarapuava,0.08407415382408194,0.035835065551601285,0.01907432592116266
Lajeado,0.08127447206126942,0.03371471533333473,0.01602133818200897
Taubaté,0.07676514990490424,0.03309015987187332,0.020456213449483472
