coefficient,estimate,se_cluster,p_cluster,p_wild_bootstrap,p_permutation
Static ATT,0.08349315450521891,0.03375931206515485,0.013480866665393,0.017301730173017303,0.07261452290458091
t=-3 (2015),-0.012768531747532163,0.06202788203767276,0.8369296445816736,0.8633863386338634,NA
t=-2 (2017),0.002191373518213287,0.013492028972801596,0.8709930243011462,0.9006900690069007,NA
t=0 (Set/18),0.017875300871445773,0.02335260163387777,0.444100262829498,0.4608460846084608,NA
t=+1 (2019),0.04172619737168934,0.03396092327463533,0.2193586343603188,0.18971897189718973,NA
t=+2 (2023),0.18030080704334525,0.08748461318225383,0.03944841602586871,0.04980498049804981,NA
