periodo,Control,Treatment,Diff,DiD
0,44.6,17.6,-27.1,NA
1,55.4,29.8,-25.6,1.5
2,57.2,31.4,-25.8,-0.2
3,59.1,35.1,-24,1.8
4,62,40.4,-21.6,2.4
5,86.5,78.7,-7.8,13.9
