code_muni,tse_code,mun_name,uf,ano,election_year,party_winner,margin_pct
3100104,40010,Abadia Dos Dourados,MG,2015,2012,PTB,0.04268292682926829
3100104,40010,Abadia Dos Dourados,MG,2016,2012,PTB,0.04268292682926829
3100104,40010,Abadia Dos Dourados,MG,2017,2016,DEM,0.12716996366572467
3100104,40010,Abadia Dos Dourados,MG,2018,2016,DEM,0.12716996366572467
3100104,40010,Abadia Dos Dourados,MG,2019,2016,DEM,0.12716996366572467
3100104,40010,Abadia Dos Dourados,MG,2020,2016,DEM,0.12716996366572467
3100104,40010,Abadia Dos Dourados,MG,2021,2020,DEM,0.127614169867691
3100104,40010,Abadia Dos Dourados,MG,2022,2020,DEM,0.127614169867691
3100104,40010,Abadia Dos Dourados,MG,2023,2020,DEM,0.127614169867691
3100203,40037,Abaeté,MG,2015,2012,DEM,0.06985733361444936
3100203,40037,Abaeté,MG,2016,2012,DEM,0.06985733361444936
3100203,40037,Abaeté,MG,2017,2016,DEM,0.4284893739230327
3100203,40037,Abaeté,MG,2018,2016,DEM,0.4284893739230327
3100203,40037,Abaeté,MG,2019,2016,DEM,0.4284893739230327
3100203,40037,Abaeté,MG,2020,2016,DEM,0.4284893739230327
3100203,40037,Abaeté,MG,2021,2020,DEM,0.00825967251123025
3100203,40037,Abaeté,MG,2022,2020,DEM,0.00825967251123025
3100203,40037,Abaeté,MG,2023,2020,DEM,0.00825967251123025
3100302,40053,Abre Campo,MG,2015,2012,PT,0.1097303894374792
3100302,40053,Abre Campo,MG,2016,2012,PT,0.1097303894374792
3100302,40053,Abre Campo,MG,2017,2016,PT,0.14660475914103308
3100302,40053,Abre Campo,MG,2018,2016,PT,0.14660475914103308
3100302,40053,Abre Campo,MG,2019,2016,PT,0.14660475914103308
3100302,40053,Abre Campo,MG,2020,2016,PT,0.14660475914103308
3100302,40053,Abre Campo,MG,2021,2020,MDB,0.3618567577071856
3100302,40053,Abre Campo,MG,2022,2020,MDB,0.3618567577071856
3100302,40053,Abre Campo,MG,2023,2020,MDB,0.3618567577071856
3100401,40070,Acaiaca,MG,2015,2012,DEM,0.04871887405268856
3100401,40070,Acaiaca,MG,2016,2012,DEM,0.04871887405268856
3100401,40070,Acaiaca,MG,2017,2016,PT,0.06909590924716398
3100401,40070,Acaiaca,MG,2018,2016,PT,0.06909590924716398
3100401,40070,Acaiaca,MG,2019,2016,PT,0.06909590924716398
3100401,40070,Acaiaca,MG,2020,2016,PT,0.06909590924716398
3100401,40070,Acaiaca,MG,2021,2020,PT,0.1135953840605842
3100401,40070,Acaiaca,MG,2022,2020,PT,0.1135953840605842
3100401,40070,Acaiaca,MG,2023,2020,PT,0.1135953840605842
3100500,40096,Açucena,MG,2015,2012,PT,0.10764119601328904
3100500,40096,Açucena,MG,2016,2012,PT,0.10764119601328904
3100500,40096,Açucena,MG,2017,2016,PT,0.05313061958476377
3100500,40096,Açucena,MG,2018,2016,PT,0.05313061958476377
3100500,40096,Açucena,MG,2019,2016,PT,0.05313061958476377
3100500,40096,Açucena,MG,2020,2016,PT,0.05313061958476377
